Date,Open,High,Low,Close,Adj Close,Volume
2015-03-16,24297.699219,25274.400391,24297.699219,24535.900391,21286.957031,5128920
2015-03-23,24535.900391,24535.900391,22058.500000,22534.900391,19550.923828,4739564
2015-03-30,22534.900391,23154.300781,22534.900391,22773.099609,19757.580078,3044230
2015-04-06,22534.900391,23154.300781,22392.000000,22987.500000,19943.587891,4621183
2015-04-13,22630.199219,22987.500000,21510.599609,22010.900391,19096.304688,4166021
2015-04-20,22010.900391,22558.699219,20962.699219,20962.699219,18186.904297,7752416
2015-04-27,20724.500000,20724.500000,18580.599609,19390.500000,17187.509766,8725287
2015-05-04,19390.500000,20343.400391,19104.699219,20200.400391,17905.398438,4902653
2015-05-11,20009.900391,25226.699219,20009.900391,25155.300781,22297.363281,16240417
2015-05-18,24488.300781,26227.199219,24393.000000,24869.400391,22043.943359,11403038
2015-05-25,24893.199219,26060.500000,23416.300781,23630.699219,20945.972656,7269234
2015-06-01,23630.699219,24631.199219,23130.500000,23440.099609,20777.027344,5799120
2015-06-08,23440.099609,23630.699219,21439.099609,22106.099609,19594.585938,5577154
2015-06-15,21677.400391,22177.599609,20319.500000,21582.099609,19130.119141,4778080
2015-06-22,21772.599609,22296.699219,20962.699219,21725.000000,19256.785156,5190631
2015-06-29,21534.400391,24464.400391,21439.099609,24297.699219,21537.195313,5696797
2015-07-06,23535.400391,24774.099609,22963.699219,24369.199219,21600.570313,6471209
2015-07-13,24369.199219,24774.099609,23583.099609,23797.500000,21093.824219,2345801
2015-07-20,23797.500000,23797.500000,21844.099609,21844.099609,19362.351563,2458934
2015-07-27,21820.300781,21820.300781,18747.300781,19128.500000,16955.275391,6309589
2015-08-03,19128.500000,19866.900391,18580.599609,18842.599609,16701.859375,5273540
2015-08-10,18842.599609,19152.300781,17461.000000,18223.300781,16152.917969,5670768
2015-08-17,18223.300781,18294.699219,15555.299805,15769.700195,13978.076172,3290963
2015-08-24,14435.700195,17341.900391,13744.900391,17222.800781,15266.086914,6437205
2015-08-31,17222.800781,17818.300781,15245.599609,15293.299805,13555.800781,4122888
2015-09-07,15436.200195,17437.199219,14102.200195,17151.300781,15202.712891,6255434
2015-09-14,17175.099609,17866.000000,16722.500000,17151.300781,15202.712891,7318769
2015-09-21,16865.500000,17580.099609,16770.199219,17103.699219,15160.517578,6932141
2015-09-28,17341.900391,18937.900391,15936.400391,18199.500000,16131.822266,13198808
2015-10-05,18485.300781,19962.199219,17175.099609,17746.800781,15730.554688,12387978
2015-10-12,18080.300781,18795.000000,17318.099609,18056.500000,16005.067383,10161817
2015-10-19,18008.900391,21058.000000,17675.400391,19771.699219,17525.400391,15165118
2015-10-26,19724.000000,20152.800781,18104.199219,18961.699219,16807.427734,8278312
2015-11-02,18961.699219,20009.900391,18413.800781,19080.800781,16912.996094,9008856
2015-11-09,18580.599609,18914.099609,17151.300781,17199.000000,15244.991211,5992435
2015-11-16,17199.000000,17818.300781,17151.300781,17389.500000,15413.849609,5134064
2015-11-23,17437.199219,18008.900391,17222.800781,17222.800781,15266.086914,4052363
2015-11-30,17222.800781,17341.900391,16150.799805,16770.199219,14864.907227,9844664
2015-12-07,16770.199219,17294.199219,15650.599609,15793.500000,13999.172852,4040818
2015-12-14,15436.200195,16150.799805,15269.400391,15269.400391,13534.617188,4306651
2015-12-21,15245.599609,15293.299805,14650.099609,14769.200195,13091.246094,2967304
2015-12-28,15055.000000,15412.400391,14959.799805,15102.700195,13386.855469,9777393
2016-01-04,15102.700195,16174.599609,14864.500000,15483.799805,13724.658203,8328056
2016-01-11,15483.799805,16007.900391,15126.500000,15817.299805,14020.269531,6631883
2016-01-18,15531.500000,16627.199219,15460.000000,15769.700195,13978.076172,6982307
2016-01-25,16055.500000,16555.800781,15650.599609,16269.900391,14421.449219,6521164
2016-02-01,16389.000000,16460.500000,15507.700195,16269.900391,14421.449219,11361374
2016-02-08,16269.900391,16389.000000,15412.400391,15865.000000,14062.548828,5576736
2016-02-15,16103.200195,18628.199219,15984.099609,16913.099609,14991.573242,17185580
2016-02-22,16960.699219,17175.099609,13339.900391,13482.799805,11950.995117,18545710
2016-02-29,13530.500000,14554.799805,13530.500000,14388.099609,12753.442383,11065946
2016-03-07,14578.599609,16722.500000,14554.799805,16674.900391,14780.434570,10858989
2016-03-14,16674.900391,17103.699219,16365.200195,16984.599609,15054.948242,8175988
2016-03-21,16984.599609,17127.500000,16389.000000,16484.300781,14611.490234,4479608
2016-03-28,16484.300781,17437.199219,16246.099609,17294.199219,15329.374023,6219228
2016-04-04,17151.300781,17175.099609,15912.599609,16055.500000,14231.406250,6971391
2016-04-11,16055.500000,16055.500000,15126.500000,15269.400391,13534.617188,1600984
2016-04-18,15269.400391,15626.799805,15055.000000,15221.799805,13492.423828,5192310
2016-04-25,15340.900391,15865.000000,14959.799805,15340.900391,13597.993164,7137211
2016-05-02,15245.599609,15507.700195,14864.500000,14983.599609,13281.286133,2227524
2016-05-09,14983.599609,15126.500000,13911.599609,14149.799805,12542.216797,9316669
2016-05-16,13911.599609,14268.900391,13816.299805,14030.700195,12436.646484,6497130
2016-05-23,14030.700195,14483.299805,13816.299805,14292.799805,12668.969727,5250347
2016-05-30,14292.799805,15483.799805,13125.500000,14840.700195,13154.620117,65156878
2016-06-06,14840.700195,16200.000000,14459.500000,15550.000000,13783.336914,17513875
2016-06-13,15300.000000,15300.000000,14375.000000,14550.000000,12896.949219,17601500
2016-06-20,14700.000000,14825.000000,13900.000000,14100.000000,12498.073242,7645400
2016-06-27,14100.000000,14750.000000,14050.000000,14450.000000,12808.310547,7181100
2016-07-04,14450.000000,14450.000000,14450.000000,14450.000000,12808.310547,0
2016-07-11,14400.000000,14900.000000,14000.000000,14800.000000,13118.545898,17887200
2016-07-18,14900.000000,15700.000000,14900.000000,15100.000000,13384.460938,15240000
2016-07-25,15200.000000,15400.000000,14500.000000,14500.000000,12852.628906,11629400
2016-08-01,14700.000000,15500.000000,14400.000000,15125.000000,13406.622070,13437900
2016-08-08,15125.000000,16175.000000,14950.000000,15700.000000,13916.295898,23101000
2016-08-15,15800.000000,17225.000000,15325.000000,16600.000000,14714.044922,28808800
2016-08-22,16600.000000,17200.000000,16200.000000,16550.000000,14669.724609,15553300
2016-08-29,16450.000000,16500.000000,15750.000000,16325.000000,14470.288086,9506200
2016-09-05,16525.000000,16750.000000,16100.000000,16350.000000,14492.448242,6248600
2016-09-12,16350.000000,16375.000000,15200.000000,15650.000000,13871.976563,4861900
2016-09-19,15500.000000,16275.000000,15400.000000,15450.000000,13694.698242,8043600
