Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,15500.000000,15875.000000,15225.000000,15600.000000,14702.550781,53295300
2017-01-08,15550.000000,15600.000000,15150.000000,15275.000000,14396.247070,56831600
2017-01-15,15200.000000,15400.000000,15000.000000,15250.000000,14372.686523,51284300
2017-01-22,15200.000000,15550.000000,14950.000000,15400.000000,14514.057617,36507200
2017-01-29,15575.000000,15575.000000,15250.000000,15475.000000,14584.741211,44063300
2017-02-05,15575.000000,15700.000000,15000.000000,15000.000000,14137.069336,80568800
2017-02-12,15500.000000,15650.000000,15350.000000,15475.000000,14584.741211,66262700
2017-02-19,15600.000000,15600.000000,15400.000000,15500.000000,14608.303711,51789000
2017-02-26,15500.000000,15675.000000,15400.000000,15475.000000,14584.741211,81555000
2017-03-05,15400.000000,15700.000000,15350.000000,15625.000000,14726.112305,53268600
2017-03-12,15600.000000,16200.000000,15475.000000,15950.000000,15032.416992,113454800
2017-03-19,16100.000000,16800.000000,15950.000000,16550.000000,15597.898438,157101200
2017-03-26,16550.000000,17000.000000,16500.000000,16550.000000,15597.898438,73060000
2017-04-02,16575.000000,17475.000000,16575.000000,17350.000000,16351.875977,102271400
2017-04-09,17625.000000,17750.000000,17200.000000,17350.000000,16351.875977,55623800
2017-04-16,17350.000000,17650.000000,16700.000000,17475.000000,16469.685547,85941100
2017-04-23,17475.000000,18000.000000,17300.000000,17750.000000,16985.623047,66126800
2017-04-30,17750.000000,18000.000000,17575.000000,17775.000000,17009.544922,67725700
2017-05-07,17875.000000,18550.000000,17750.000000,18000.000000,17224.857422,67021900
2017-05-14,18000.000000,18250.000000,16800.000000,17900.000000,17129.162109,166387100
2017-05-21,18150.000000,18250.000000,17325.000000,17575.000000,16818.156250,78618200
2017-05-28,17675.000000,17950.000000,17150.000000,17550.000000,16794.234375,292944100
2017-06-04,17800.000000,18100.000000,17475.000000,17700.000000,16937.775391,91542400
2017-06-11,17700.000000,18150.000000,17600.000000,17800.000000,17033.468750,178177800
2017-06-18,18000.000000,18325.000000,17875.000000,18150.000000,17368.396484,59050500
2017-06-25,18150.000000,18150.000000,18150.000000,18150.000000,17368.396484,0
2017-07-02,18400.000000,18725.000000,18075.000000,18500.000000,17703.326172,101237000
2017-07-09,18500.000000,18650.000000,18100.000000,18400.000000,17607.632813,59492400
2017-07-16,18250.000000,18500.000000,18175.000000,18225.000000,17440.167969,46208900
2017-07-23,18350.000000,19000.000000,18200.000000,18800.000000,17990.404297,84497200
2017-07-30,18600.000000,19050.000000,18550.000000,18575.000000,17775.093750,66145400
2017-08-06,18750.000000,19050.000000,18575.000000,18675.000000,17870.787109,57052200
2017-08-13,18675.000000,18925.000000,18500.000000,18700.000000,17894.710938,36740000
2017-08-20,18800.000000,19200.000000,18700.000000,19100.000000,18277.484375,41324800
2017-08-27,18900.000000,19200.000000,18875.000000,18950.000000,18133.947266,33772000
